article_url,source_name,published_at,title,summary
https://www.reuters.com/business/autos-transportation/automakers-face-higher-costs-us-port-fees-car-carrier-wallenius-wilhelmsen-warns-2025-11-05/,Seed,2025-11-05,"Automakers face higher costs from U.S. port fees","Logistics cost shock; could reroute volumes and affect delivery times."
https://www.reuters.com/business/autos-transportation/volkswagen-says-nexperia-chip-supply-has-resumed-2025-11-07/,Seed,2025-11-07,"VW says Nexperia chip supply has resumed","Partial recovery signal; useful for trend normalization and mitigation effectiveness."
https://www.reuters.com/business/car-parts-supplier-aumovio-narrows-2025-sales-guidance-2025-11-07/,Seed,2025-11-07,"Aumovio secures exemptions; chip shipments resume","Supply relief via export exemptions; supports probability and time-sensitivity logic."
https://www.reuters.com/world/china/volkswagen-has-secured-chip-supply-now-brand-boss-says-2025-11-18/,Seed,2025-11-18,"VW says chip supply secured for now","Status update; helps track risk decay after acute shock."
https://www.reuters.com/world/another-fire-ignites-ford-aluminum-supplier-novelis-2025-11-20/,Seed,2025-11-20,"Another fire ignites at Ford aluminum supplier Novelis","Repeat incident risk; raises probability and exposure for affected materials."
https://www.reuters.com/business/autos-transportation/how-nexperia-chip-crisis-upended-auto-supply-chains-again-2025-11-24/,Seed,2025-11-24,"How the Nexperia chip crisis upended auto supply chains","Systemic chip chokepoint narrative; helps calibrate severity scoring."
https://www.reuters.com/business/continental-plans-up-1500-additional-job-cuts-source-says-2025-11-24/,Seed,2025-11-24,"Continental plans additional job cuts","Supplier capacity/restructuring risk; potential lead-time and service-level impacts."
https://www.reuters.com/world/uk/uks-october-car-output-falls-24-impact-jlr-cyberattack-lingers-2025-11-28/,Seed,2025-11-28,"UK car output falls as JLR cyberattack impact lingers","Measured production impact; validates earlier disruption severity."
https://www.reuters.com/business/autos-transportation/major-automakers-say-china-poses-clear-present-threat-us-auto-industry-2025-12-11/,Seed,2025-12-11,"Automakers warn China poses 'clear and present threat'","Geopolitical/systemic risk framing; supports political risk category signals."
https://www.reuters.com/world/middle-east/what-are-shipping-companies-plans-return-suez-canal-2025-12-19/,Seed,2025-12-19,"Shipping companies' plans for return to Suez","Trade lane stability affects lead times/costs for parts moving Asia<->Europe/US."
https://www.reuters.com/business/energy/maersk-navigates-red-sea-route-again-gaza-ceasefire-holds-2026-01-12/,Seed,2026-01-12,"Maersk navigates Red Sea route again as ceasefire holds","Route normalization signal; useful for risk trend decay and mitigation tracking."
https://www.reuters.com/world/middle-east/maersk-resume-suez-canal-sailings-mecl-service-2026-01-15/,Seed,2026-01-15,"Maersk to resume Suez Canal sailings for MECL service","Structured return reduces transit variability; useful for operational risk trend adjustments."
https://www.reuters.com/business/bosch-miss-sales-earnings-targets-manager-magazin-reports-2026-01-15/,Seed,2026-01-15,"Bosch to miss targets; restructuring pressure","Supplier financial stress indicator; risk of capacity cuts and delivery performance issues."
https://apnews.com/article/ace06d7b7b268658dc4dcd1b5127227b,Seed,2026-01-15,"Dutch court hears Nexperia mismanagement case affecting autos","Governance/political dispute driving semiconductor disruption and production volatility."
https://www.ft.com/content/bb384dae-e927-469e-bd7f-c82b7760b9f5,Seed,2026-01-14,"Carmakers find workaround for Nexperia chip shortage","Mitigation behavior example: alternative procurement/processing to restore supply."
https://www.reuters.com/business/continentals-contitech-division-close-four-plants-germany-2025-01-30/,Seed,2025-01-30,"Continental ContiTech to close four plants in Germany","Restructuring and site closures create supply continuity risk for specific product lines."
